,loadingOrder,carrierName
1,AY953863718481,JCMFTA
2,ZP741809502671,JCMFTA
5,CR201001176278,JCMFTA
21,EH805158100731,JCMFTA
19,BK310718875860,JCMFTA
17,IX706410151803,JCMFTA
26,GF401427537498,JCMFTA
20,WK112497880085,OIEQNT
13,UW944682639806,OYSCFP
23,BB762657408107,OYSCFP
25,JR333632939878,RWHZVZ
24,PE107961420129,RWHZVZ
22,NM259984010098,RWHZVZ
18,CA153456342779,RWHZVZ
16,BM507450537232,RWHZVZ
0,EO577124855744,RWHZVZ
12,ZY566124519254,RWHZVZ
10,JO324409189835,RWHZVZ
9,ZN934285160736,RWHZVZ
8,GS248220113978,RWHZVZ
7,BK500105277329,RWHZVZ
4,OF891675680511,RWHZVZ
3,ZW181366325922,RWHZVZ
27,SV906671430251,RWHZVZ
14,DX892078349900,UQCRKD
11,XZ928972058837,UQCRKD
6,AQ678418145223,UQCRKD
15,QD773388578784,UQCRKD
